# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-10-23 12:05:30 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02176930 CHATTOOGA RIVER AT BURRELLS FORD, NR PINE MTN, GA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02176930
#            TS   parameter     statistic     Description
#        222848       00045     00006     Precipitation, total, inches (Sum), [Operational]
#        324263       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         34394       00065     00003     Gage height, feet (Mean)
#         34395       00060     00003     Discharge, cubic feet per second (Mean)
#         34396       00045     00006     Precipitation, total, inches (Sum)
#         34398       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         34399       00010     00003     Temperature, water, degrees Celsius (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	222848_00045_00006	222848_00045_00006_cd	324263_00010_00001	324263_00010_00001_cd	34394_00065_00003	34394_00065_00003_cd	34395_00060_00003	34395_00060_00003_cd	34398_00010_00002	34398_00010_00002_cd	34399_00010_00003	34399_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	02176930	2021-10-22	0.01	P	14.8	A	1.43	A	194	A	13.4	A	14.0	A
USGS	02176930	2021-10-23	0.00	P	13.9	A	1.39	A	183	A	12.2	A	13.1	A
USGS	02176930	2021-10-24	0.00	P	13.6	A	1.37	A	174	A	11.9	A	12.8	A
USGS	02176930	2021-10-25	0.01	P	14.1	A	1.35	A	168	A	12.9	A	13.5	A
USGS	02176930	2021-10-26	0.00	P	13.9	A	1.33	A	164	A	12.3	A	13.1	A
USGS	02176930	2021-10-27	0.00	P	12.3	A	1.33	A	164	A	10.5	A	11.4	A
USGS	02176930	2021-10-28	0.51	P	11.6	A	1.34	A	167	A	10.6	A	11.0	A
USGS	02176930	2021-10-29	0.15	P	12.0	A	1.35	A	169	A	11.5	A	11.8	A
USGS	02176930	2021-10-30	0.05	P	11.9	A	1.30	A	153	A	10.7	A	11.4	A
USGS	02176930	2021-10-31	0.01	P	12.6	A	1.26	A	143	A	11.0	A	11.8	A
USGS	02176930	2021-11-01	0.00	P	12.1	A	1.23	A	136	A	10.4	A	11.3	A
USGS	02176930	2021-11-02			12.0	A	1.22	A	132	A	10.4	A	11.2	A
USGS	02176930	2021-11-03	0.02	P	11.3	A	1.20	A	128	A	10.2	A	10.8	A
USGS	02176930	2021-11-04	0.19	P	10.2	A	1.22	A	131	A	9.3	A	9.7	A
USGS	02176930	2021-11-05	0.00	P	9.7	A	1.20	A	126	A	8.6	A	9.2	A
USGS	02176930	2021-11-06	0.00	P	9.4	A	1.17	A	120	A	7.9	A	8.7	A
